param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
9  100  100  100  100  10  100  100  4  100  4  2  100  100  100  100  100  7  100  100
10  100  8  100  100  100  100  100  100  4  100  6  100  100  100  100  5  100  100  100
11  100  100  100  100  8  100  100  100  2  6  100  5  100  9  10  100  100  100  100
12  100  100  5  100  100  100  100  100  100  100  5  100  4  9  100  5  100  7  100
13  3  100  100  100  100  100  100  100  100  100  100  4  100  10  10  100  100  100  100
14  100  100  100  100  100  100  100  100  100  100  9  9  10  100  4  100  3  100  100
15  100  100  3  100  2  100  100  100  100  100  10  100  10  4  100  2  100  100  100
16  100  100  100  8  100  100  100  100  100  5  100  5  100  100  2  100  8  100  100
17  100  100  100  100  100  100  100  100  7  100  100  100  100  3  100  8  100  5  100
18  100  100  100  100  100  100  100  7  100  100  100  7  100  100  100  100  5  100  10
19  8  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  1  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  7
2  5  15
3  9  11
4  15  16
5  1  13
6  3  4
7  3  15
8  6  7
9  14  17
10  2  3
11  8  9
12  9  10
13  12  13
14  14  15
15  3  12
16  10  16
17  17  18
18  1  19
;
